question_text,option_a,option_b,option_c,option_d,correct_answer,time_limit
Nuoc nao la nuoc dau tien thi hanh Duong dua Tren la Luat Phap Luoc?,Phap,Anh,My,Duc,Phap,30
Nuoc nao la nuoc dau tien lap tao Ra He thong Ngan Hang Trung Uong?,Phap,Anh,Duc,Sweden,Anh,30
Nuoc nao la nuoc dau tien phung chan che do Nui Bao Chu Thuyen Do va Thoat,Anh,Phap,Duc,Hoa Lan,Anh,30
Nuoc nao la nuoc dau tien phung chan Che do Duc Su va Lap Co Tham Quyen La Thoat,Anh,Phap,Duc,Hoa Lan,Anh,30
Nuoc nao la nuoc dau tien san Xuat Dien La Tieu The Tung Lai Yen Goc,Phap,Anh,Duc,Hoa Lan,Duc,30
Nuoc nao la nuoc dau tien Da Cho Che do Khanh Co To Chuc Mien,,Phap,Anh,Duc,Hoa Lan,Anh,30
Nuoc nao la nuoc dau tien La Mat Cong Nghiep Hoa De Tao Hang Ma San Pham,Anh,Phap,Duc,Hoa Lan,Anh,30
Nuoc nao la nuoc dau tien Phat Trien He Thong Giao Due Cong Cong,Phap,Anh,Duc,Hoa Lan,Phap,30
Trai Day la Trai Dai o dau?,Ha Dong,Ha Tay,Thanh Oai,Tu Liem,Ha Dong,30
Hang Pagoda la hang nao o Viet Nam?,Ha Long,Phong Nha,Son Doong,Kuom Phuong,Son Doong,30
My Son la di tich nao cua Viet Nam?,Cua Cham,Cua Khmer,Cua Viet,Cua Phap,Cua Cham,30
Hoi An la thanh pho co che do chi la gi?,Che do Dong Duong,Che do Trung Hoa,Che do Nhat Ban,Che do Thai Lan,Che do Dong Duong,30
Phuong Hoang la ten cua thanh pho nao o Viet Nam?,Hoi An,Ho Chi Minh,Ha Noi,Da Nang,Hoi An,30
Thang Long la ten co cua thanh pho nao o Viet Nam?,Ha Noi,Ho Chi Minh,Da Nang,Hue,Ha Noi,30
Hoa Lu la thanh tho co cua vi nha nuoc nao?,Ngo,Dinh,Ly,Tran,Ngo,30
Tran Hung Dao duoc co tien cu la ai?,Tran Huong,Tran Quoc Tuan,Tran Khac Chan,Tran Loi,Tran Huong,30
Nhan vat nao la chi huy cua Tran Bach Dang?,Tran Hung Dao,Tran Quoc Tuan,Tran Khac Chan,Tran Loi,Tran Hung Dao,30
Chu Dy la nhan vat nao o Viet Nam,Nha su pham,Nha van hoc,Nha thao luoc,Tay doan du,Nha su pham,30
Nhan vat Tran Quang Dieu co linh nhan o cau gap nao?,30 dung,20 dung,40 dung,50 dung,30 dung,30
Le Lo thuoc nha nuoc nao o Viet Nam?,Ly,Tran,Le,Mac,Le,30
Mac Dang Dung la nhan vat cua nha nuoc nao o Viet Nam?,Mac,Trinh,Nguyen,Tay Son,Mac,30
Trinh Trang la nhan vat cua nha nuoc nao o Viet Nam?,Trinh,Nguyen,Le,Mac,Trinh,30
Nha Nguyen la nha nuoc co tien cu luu tru tu den khi nao?,Tran,Le,Trinh,Mac,Tran,30
Quoc huy cu cua Viet Nam duoc tao ra nam nao?,1950,1955,1960,1965,1950,30
Quoc ky cu cua Viet Nam duoc tao ra nam nao?,1945,1950,1955,1960,1945,30
Quoc than cu cua Viet Nam la gi?,Thanh Nien Tien Phong To,Tien Phong,Cong An,Quan Doi,Thanh Nien Tien Phong To,30
Nha xuat ban Nhan Dan la chi tieu cua co quan nao o Viet Nam?,Dang Cong San,Chinh Phu,Quoc Hoi,UBND Tinh,Dang Cong San,30
Tap chi Tien Phong la chi tieu cua to chuc nao o Viet Nam?,Doan Thanh Nien,Dang Cong San,Chinh Phu,Quoc Hoi,Doan Thanh Nien,30
Bao Tien Phong la bao chi cua to chuc nao o Viet Nam?,Doan Thanh Nien,Dang Cong San,Chinh Phu,Quoc Hoi,Doan Thanh Nien,30
Viet Nam la thanh vien cua bao nhieu to chuc quoc te?,20,25,30,35,30,30
ASEAN toan ten la gi?,Association of Southeast Asian Nations,Asian South East Nations Association,Southeast Asian Nations Association,Asia Southeast Nations,Association of Southeast Asian Nations,30
ASEAN co bao nhieu thanh vien?,10 thanh vien,9 thanh vien,11 thanh vien,12 thanh vien,10 thanh vien,30
ASEAN thanh lap nam nao?,1967,1968,1969,1970,1967,30
Hiep hoi ASEAN co tru so o dau?,Jakarta,Bangkok,Manila,Hanoi,Jakarta,30
Nha thanh lap ASEAN la ai?,Cesar Locsin,Tun Abdul Razak,Narciso Ramos,Adam Malik,Narciso Ramos,30
APEC thanh lap nam nao?,1989,1990,1991,1992,1989,30
APEC co bao nhieu thanh vien?,21 thanh vien,20 thanh vien,22 thanh vien,23 thanh vien,21 thanh vien,30
WTO thanh lap nam nao?,1995,1996,1994,1997,1995,30
WTO co tru so o dau?,Geneva,Brussels,Vienna,Paris,Geneva,30
Viet Nam gia nhap WTO nam nao?,2006,2007,2005,2008,2007,30
IMF thanh lap nam nao?,1944,1945,1946,1947,1944,30
World Bank thanh lap nam nao?,1944,1945,1946,1947,1945,30
ADB thanh lap nam nao?,1966,1967,1968,1969,1966,30
ADB la gi?,Asian Development Bank,Asian Developing Bank,Asia Development Bank,Advanced Development Bank,Asian Development Bank,30
ADB co tru so o dau?,Manila,Bangkok,Jakarta,Singapore,Manila,30
Viet Nam gia nhap ADB nam nao?,1966,1973,1986,1995,1966,30
BRICS la to chuc thanh lap nam nao?,2009,2010,2011,2012,2009,30
BRICS la cum tu nha nao?,Brazil,Russia,India,China,South Africa,Brazil Russia India China South Africa,30
Shanghai Cooperation Organization thanh lap nam nao?,1996,2001,2002,2003,2001,30
RCEP thanh lap nam nao?,2020,2021,2022,2023,2022,30
CPTPP thanh lap nam nao?,2018,2019,2020,2021,2018,30
Lien Hop Quoc thanh lap nam nao?,1945,1946,1947,1948,1945,30
Lien Hop Quoc co bao nhieu nuoc thanh vien?,193 nuoc,190 nuoc,195 nuoc,200 nuoc,193 nuoc,30
Lich su hoc la khoa hoc nhan ve gi?,Ve lich su nhan loai,Ve khoa hoc tu nhien,Ve dan so,Ve con nguoi,Ve lich su nhan loai,30
UNESCO la to chuc nao o Lien Hop Quoc?,Giao duc va Khoa hoc,Y te,Lao dong,Thong tin,Giao duc va Khoa hoc,30
WHO la to chuc nao o Lien Hop Quoc?,Y te,Giao duc,Nong nghiep,Lao dong,Y te,30
UNICEF la to chuc nao o Lien Hop Quoc?,Tre em,Giao duc,Y te,Lao dong,Tre em,30
UNEP la to chuc nao o Lien Hop Quoc?,Moi truong,Y te,Giao duc,Nong nghiep,Moi truong,30
UNHCR la to chuc nao o Lien Hop Quoc?,Ty nan,Y te,Giao duc,Nong nghiep,Ty nan,30
UNDP la to chuc nao o Lien Hop Quoc?,Phat trien,Y te,Giao duc,Nong nghiep,Phat trien,30
Nguoi sung gia o Viet Nam hien nay la bao nhieu trieu?,100 trieu,95 trieu,105 trieu,110 trieu,100 trieu,30
Muc soc hanh phuc cua Viet Nam la bao nhieu,6.7,6.5,7,7.5,6.7,30
Muc chi so phat trien con nguoi cua Viet Nam la bao nhieu?,0.7,0.68,0.72,0.75,0.7,30
Muc chi so gini cua Viet Nam la bao nhieu?,0.45,0.4,0.5,0.55,0.45,30
Toc do tang truong GDP nam 2021 cua Viet Nam la bao nhieu phan tram?,2.6,2,3,3.5,2.6,30
Toc do tang truong GDP nam 2022 cua Viet Nam la bao nhieu phan tram?,8.2,7.5,8.5,9,8.2,30
Toc do gang truong GDP nam 2023 cua Viet Nam la bao nhieu phan tram?,5,4.5,5.5,6,5,30
Chieu cao trung binh cua nam gioi Viet Nam la bao nhieu cm?,167 cm,165 cm,170 cm,172 cm,167 cm,30
Chieu cao trung binh cua nu gioi Viet Nam la bao nhieu cm?,157 cm,155 cm,160 cm,162 cm,157 cm,30
Can nang trung binh cua nam gioi Viet Nam la bao nhieu kg?,63 kg,60 kg,65 kg,68 kg,63 kg,30
Can nang trung binh cua nu gioi Viet Nam la bao nhieu kg?,53 kg,50 kg,55 kg,58 kg,53 kg,30
Tuoi tho trung binh cua nam gioi Viet Nam la bao nhieu tuoi?,72 tuoi,70 tuoi,75 tuoi,78 tuoi,72 tuoi,30
Tuoi tho trung binh cua nu gioi Viet Nam la bao nhieu tuoi?,78 tuoi,75 tuoi,80 tuoi,82 tuoi,78 tuoi,30
Phi Thong Dung,Ngay sinh,Noi sinh,Thanh Tuu,Chuc Danh,Chuyen Mon,Phi Thong Dung,30
Ludwig van Beethoven,1770,Bonn,Nhac sy dai tien,Sonatinata,Muon Yeu Au,Nhac sy,30
Wolfgang Amadeus Mozart,1756,Salzburg,Nhac sy dai tien,Concerto,Tuong Truong Au,Nhac sy,30
Johann Sebastian Bach,1685,Eisenach,Nhac sy dai tien,Fugue,Toccata va Fugue,Nhac sy,30
Frederic Chopin,1810,Zelazowa Wola,Nhac sy dai tien,Nocturne,Polonaise,Nhac sy,30
Antonio Vivaldi,1678,Venice,Nhac sy dai tien,Concerto,Bon Mua,Nhac sy,30
Giuseppe Verdi,1813,Parma,Nhac sy opera,La Traviata,Rigoletto,Nhac sy,30
Georges Bizet,1838,Paris,Nhac sy opera,Carmen,Le Perles Pescatori,Nhac sy,30
Gioachino Rossini,1792,Pesaro,Nhac sy opera,Il Barbiere,Guillaume Tell,Nhac sy,30
Wolfgang Amadeus Mozart,1756,Salzburg,Nhac sy dai tien,Opera,Magic Flute,Nhac sy,30
George Friedrich Handel,1685,Halle,Nhac sy dai tien,Oratorio,Messiah,Nhac sy,30
Pyotr Ilyich Tchaikovsky,1840,Votkinsk,Nhac sy dai tien,Bale,Swan Lake,Nhac sy,30
Igor Stravinsky,1882,Oranienbaum,Nhac sy dai tien,Bale,Rite of Spring,Nhac sy,30
Claude Debussy,1862,Saint-Germain,Nhac sy dai tien,Sonata,Clair de Lune,Nhac sy,30
Maurice Ravel,1875,Ciboure,Nhac sy dai tien,Bolero,Piano Concerto,Nhac sy,30
Gabriel Faure,1845,Pamiers,Nhac sy dai tien,Requiem,Pavane,Nhac sy,30
Camille Saint-Saens,1835,Paris,Nhac sy dai tien,Danse Macabre,Samson et Dalila,Nhac sy,30
Hector Berlioz,1803,La Cote Saint-Andre,Nhac sy dai tien,Symphonie Fantastique,Romeo et Juliette,Nhac sy,30
Gioacchino Rossini,1792,Pesaro,Nhac sy opera,Il Barbiere,Thievish Magpie,Nhac sy,30
Franz Liszt,1811,Raiding,Nhac sy dai tien,Sonata,Hungarian Rhapsody,Nhac sy,30
Robert Schumann,1810,Zwickau,Nhac sy dai tien,Symphony,Album for the Young,Nhac sy,30
Johannes Brahms,1833,Hamburg,Nhac sy dai tien,Symphony,Hungarian Dance,Nhac sy,30
Richard Wagner,1813,Leipzig,Nhac sy opera,Tristan und Isolde,The Ring Cycle,Nhac sy,30
Georges Bizet,1838,Paris,Nhac sy opera,Carmen,Pearlfishers,Nhac sy,30
Jacopo Peri,1561,Rome,Nhac sy opera,Dafne,Euridice,Nhac sy,30
Claudio Monteverdi,1567,Cremona,Nhac sy opera,L Orfeo,The Coronation,Nhac sy,30
Jean-Baptiste Lully,1632,Florence,Nhac sy opera,Armide,Alceste,Nhac sy,30
Jean-Philippe Rameau,1683,Dijon,Nhac sy opera,Hippolyte et Aricie,Dardanus,Nhac sy,30
Christoph Willuck,1681,Stoupa,Nhac sy opera,Euridice,Dafne,Nhac sy,30
Leonardo da Vinci,1452,Vinci,Hoa si dai tien,Mona Lisa,The Last Supper,Hoa si,30
Michelangelo,1475,Caprese,Hoa si dai tien,David,Sistine Chapel,Hoa si,30
Raphael,1483,Urbino,Hoa si dai tien,School of Athens,Transfiguration,Hoa si,30
Vincent van Gogh,1853,Zundert,Hoa si dai tien,Starry Night,Sunflowers,Hoa si,30
Pablo Picasso,1881,Malaga,Hoa si dai tien,Guernica,Les Demoiselles,Hoa si,30
Salvador Dali,1904,Figueres,Hoa si dai tien,Persistence of Memory,Swans Reflecting,Hoa si,30
Frida Kahlo,1907,Mexico City,Hoa si dai tien,Two Fridas,Henry Ford Hospital,Hoa si,30
Diego Rivera,1886,Guanajuato,Hoa si dai tien,Dream of a Sunday,Detroit Industry,Hoa si,30
Andy Warhol,1928,Pittsburgh,Hoa si dai tien,Campbell Soup,Marilyn,Hoa si,30
Jackson Pollock,1912,Cody,Hoa si dai tien,No. 5,Autumn Rhythm,Hoa si,30
Mark Rothko,1903,Dvinsk,Hoa si dai tien,Orange Red Yellow,Black on Maroon,Hoa si,30
Joan Mitchell,1925,Chicago,Hoa si dai tien,Untitled,Blaze,Hoa si,30
Helen Frankenthaler,1928,New York,Hoa si dai tien,Mountains and Sea,Madame Moon,Hoa si,30
Wassily Kandinsky,1866,Moscow,Hoa si dai tien,Composition VIII,Yellow Red Blue,Hoa si,30
Piet Mondrian,1872,Amersfoort,Hoa si dai tien,Broadway Boogie,Composition,Hoa si,30
Henri Matisse,1869,Le Cateau,Hoa si dai tien,Goldfish Painting,Dance,Hoa si,30
Paul Cezanne,1839,Aix-en-Provence,Hoa si dai tien,Mont Saint-Victoire,The Card Players,Hoa si,30
Rembrandt,1606,Amsterdam,Hoa si dai tien,The Night Watch,Self-Portrait,Hoa si,30
Diego Velasquez,1599,Seville,Hoa si dai tien,Las Meninas,Old Woman Cooking,Hoa si,30
Caravaggio,1571,Milan,Hoa si dai tien,The Calling of Matthew,The Incredulity,Hoa si,30
Gian Lorenzo Bernini,1598,Naples,Hoa si dai tien,David,Apollo and Daphne,Hoa si,30
Antonio Canova,1757,Possagno,Hoa si dai tien,Psyche Revived,Cupid and Psyche,Hoa si,30
Donatello,1386,Florence,Hoa si dai tien,David,Mary Magdalene,Hoa si,30
Michelangelo,1475,Caprese,Hoa si dai tien,David,Pietà,Hoa si,30
William Shakespeare,1564,Stratford,Van hoc dai tien,Hamlet,Macbeth,Van hoc,30
Jane Austen,1775,Steventon,Van hoc dai tien,Pride and Prejudice,Emma,Van hoc,30
Charles Dickens,1812,Portsmouth,Van hoc dai tien,Great Expectations,Oliver Twist,Van hoc,30
Charlotte Bronte,1816,Haworth,Van hoc dai tien,Jane Eyre,The Professor,Van hoc,30
Emily Bronte,1818,Haworth,Van hoc dai tien,Wuthering Heights,Gondal Poems,Van hoc,30
Anne Bronte,1820,Haworth,Van hoc dai tien,The Tenant,Agnes Grey,Van hoc,30
George Eliot,1819,Arbury,Van hoc dai tien,Middlemarch,The Mill,Van hoc,30
Thomas Hardy,1840,Dorset,Van hoc dai tien,Tess of D Urbervilles,Far From Madding,Van hoc,30
George Bernard Shaw,1856,Dublin,Van hoc dai tien,Pygmalion,Saint Joan,Van hoc,30
Samuel Beckett,1906,Foxrock,Van hoc dai tien,Waiting for Godot,Endgame,Van hoc,30
James Joyce,1882,Dublin,Van hoc dai tien,Ulysses,Dubliners,Van hoc,30
Virginia Woolf,1882,Kensington,Van hoc dai tien,Mrs Dalloway,To the Lighthouse,Van hoc,30
Oswald Wilde,1854,Dublin,Van hoc dai tien,The Picture,The Importance,Van hoc,30
Frankenstein,1797,England,Tac pham van hoc,Science Fiction,Horror,Mary Shelley,30
Dracula,1897,England,Tac pham van hoc,Horror,Gothic,Bram Stoker,30
The Strange Case of Dr Jekyll,1886,England,Tac pham van hoc,Science Fiction,Gothic,Robert Stevenson,30
The Picture of Dorian Gray,1890,England,Tac pham van hoc,Gothic,Dark Fantasy,Oscar Wilde,30
The Turn of the Screw,1898,England,Tac pham van hoc,Horror,Gothic,Henry James,30
The Haunting of Hill House,1959,America,Tac pham van hoc,Horror,Gothic,Shirley Jackson,30
Rebecca,1938,England,Tac pham van hoc,Mystery,Gothic,Daphne du Maurier,30
The Shining,1977,America,Tac pham van hoc,Horror,Psychological,Stephen King,30
It,1986,America,Tac pham van hoc,Horror,Dark Fantasy,Stephen King,30
The Exorcist,1971,America,Tac pham van hoc,Horror,Paranormal,William Peter Blatty,30
The Omen,1976,America,Tac pham van hoc,Horror,Paranormal,David Seltzer,30
Hellraiser,1986,England,Tac pham van hoc,Horror,Dark Fantasy,Clive Barker,30
The Silence of the Lambs,1988,America,Tac pham van hoc,Thriller,Psychological,Thomas Harris,30
Hannibal,1999,America,Tac pham van hoc,Thriller,Psychological,Thomas Harris,30
Red Dragon,2000,America,Tac pham van hoc,Thriller,Psychological,Thomas Harris,30
The Da Vinci Code,2003,America,Tac pham van hoc,Mystery,Thriller,Dan Brown,30
Angels and Demons,2000,America,Tac pham van hoc,Mystery,Thriller,Dan Brown,30
The Lost Symbol,2009,America,Tac pham van hoc,Mystery,Thriller,Dan Brown,30
The Inferno,2013,America,Tac pham van hoc,Mystery,Thriller,Dan Brown,30
The Girl with the Dragon Tattoo,2005,Sweden,Tac pham van hoc,Mystery,Thriller,Stieg Larsson,30
The Girl Who Played with Fire,2006,Sweden,Tac pham van hoc,Mystery,Thriller,Stieg Larsson,30
The Girl Who Kicked the Hornets Nest,2007,Sweden,Tac pham van hoc,Mystery,Thriller,Stieg Larsson,30
The Catcher in the Rye,1951,America,Tac pham van hoc,Literary Fiction,Coming-of-Age,J.D. Salinger,30
The Great Gatsby,1925,America,Tac pham van hoc,Literary Fiction,Jazz Age,F. Scott Fitzgerald,30
To Kill a Mockingbird,1960,America,Tac pham van hoc,Literary Fiction,Race Relations,Harper Lee,30
One Hundred Years of Solitude,1967,Colombia,Tac pham van hoc,Magical Realism,Family Saga,Gabriel Garcia Marquez,30
Love in the Time of Cholera,1985,Colombia,Tac pham van hoc,Magical Realism,Romance,Gabriel Garcia Marquez,30
Things Fall Apart,1958,Nigeria,Tac pham van hoc,Literary Fiction,Colonialism,Chinua Achebe,30
The Kite Runner,2003,Afghanistan,Tac pham van hoc,Literary Fiction,Friendship,Khaled Hosseini,30
A Thousand Splendid Suns,2007,Afghanistan,Tac pham van hoc,Literary Fiction,Women,Khaled Hosseini,30
And the Mountains Echoed,2013,Afghanistan,Tac pham van hoc,Literary Fiction,Family,Khaled Hosseini,30
The House of the Spirits,1982,Chile,Tac pham van hoc,Magical Realism,Family Saga,Isabel Allende,30
Beloved,1987,America,Tac pham van hoc,Literary Fiction,Slavery,Toni Morrison,30
Song of Solomon,1977,America,Tac pham van hoc,Literary Fiction,African American,Toni Morrison,30
Sula,1973,America,Tac pham van hoc,Literary Fiction,African American,Toni Morrison,30
Invisible Man,1952,America,Tac pham van hoc,Literary Fiction,African American,Ralph Ellison,30
Native Son,1940,America,Tac pham van hoc,Literary Fiction,African American,Richard Wright,30
The Color Purple,1982,America,Tac pham van hoc,Literary Fiction,African American,Alice Walker,30
Their Eyes Were Watching God,1937,America,Tac pham van hoc,Literary Fiction,African American,Zora Hurston,30
Ceremony,1977,America,Tac pham van hoc,Literary Fiction,Native American,Leslie Marmon Silko,30
House Made of Dawn,1968,America,Tac pham van hoc,Literary Fiction,Native American,N. Scott Momaday,30
Almanac of the Dead,1991,America,Tac pham van hoc,Literary Fiction,Native American,Leslie Marmon Silko,30
Love Medicine,1984,America,Tac pham van hoc,Literary Fiction,Native American,Louise Erdrich,30
The Round House,2012,America,Tac pham van hoc,Literary Fiction,Native American,Louise Erdrich,30
Tracks,1988,America,Tac pham van hoc,Literary Fiction,Native American,Louise Erdrich,30
Snow Falling on Cedars,1994,America,Tac pham van hoc,Literary Fiction,Japanese American,David Guterson,30
When Breath Becomes Air,2016,America,Tac pham van hoc,Literary Nonfiction,Memoir,Paul Kalanithi,30
The Year of Magical Thinking,2005,America,Tac pham van hoc,Literary Nonfiction,Memoir,Joan Didion,30
Beloved,1987,America,Tac pham van hoc,Literary Fiction,African American,Toni Morrison,30
The Midnight Library,2020,England,Tac pham van hoc,Literary Fiction,Fantasy,Matt Haig,30
The Invisible Life of Addie LaRue,2020,America,Tac pham van hoc,Literary Fiction,Fantasy,V.E. Schwab,30
The House in the Cerulean Sea,2020,America,Tac pham van hoc,Literary Fiction,Fantasy,TJ Klune,30
The Song of Achilles,2011,America,Tac pham van hoc,Literary Fiction,Mythological,Madeline Miller,30
Circe,2018,America,Tac pham van hoc,Literary Fiction,Mythological,Madeline Miller,30
The Ariadne,2021,America,Tac pham van hoc,Literary Fiction,Mythological,Jennifer Saint,30
A Deadly Education,2015,America,Tac pham van hoc,Literary Fiction,Fantasy,Naomi Novik,30
Sorcery of Thorns,2019,America,Tac pham van hoc,Literary Fiction,Fantasy,Margaret Rogerson,30
An Enchantment of Ravens,2015,America,Tac pham van hoc,Literary Fiction,Fantasy,Margaret Rogerson,30
Ninth House,2019,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Leigh Bardugo,30
Ninth House,2019,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Leigh Bardugo,30
Ninth House,2019,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Leigh Bardugo,30
The Cruel Prince,2018,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Holly Black,30
The Wicked King,2019,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Holly Black,30
The Queen of Nothing,2019,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Holly Black,30
House of Salt and Sorrows,2022,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Erin A. Craig,30
The Bone Houses,2023,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Emily Lloyd-Jones,30
The Dead and the Dark,2022,America,Tac pham van hoc,Literary Fiction,Dark Fantasy,Courtney Gould,30
House of Leaves,2000,America,Tac pham van hoc,Literary Fiction,Experimental,Mark Z. Danielewski,30
Infinite Jest,1996,America,Tac pham van hoc,Literary Fiction,Postmodern,David Foster Wallace,30
Gravity Rainbow,1973,America,Tac pham van hoc,Literary Fiction,Postmodern,Thomas Pynchon,30
The Brothers Karamazov,1879,Russia,Tac pham van hoc,Literary Fiction,Philosophical,Dostoevsky,30
Crime and Punishment,1866,Russia,Tac pham van hoc,Literary Fiction,Psychological,Dostoevsky,30
War and Peace,1869,Russia,Tac pham van hoc,Literary Fiction,Historical,Leo Tolstoy,30
Anna Karenina,1877,Russia,Tac pham van hoc,Literary Fiction,Romance,Leo Tolstoy,30
Notes from the Underground,1864,Russia,Tac pham van hoc,Literary Fiction,Philosophical,Dostoevsky,30
The Idiot,1869,Russia,Tac pham van hoc,Literary Fiction,Philosophical,Dostoevsky,30
Demons,1872,Russia,Tac pham van hoc,Literary Fiction,Philosophical,Dostoevsky,30
The Master and Margarita,1966,Soviet,Tac pham van hoc,Literary Fiction,Satirical,Mikhail Bulgakov,30
Dead Souls,1842,Russia,Tac pham van hoc,Literary Fiction,Satirical,Nikolai Gogol,30
The Great Gatsby,1925,America,Tac pham van hoc,Literary Fiction,Jazz Age,F. Scott Fitzgerald,30
Tender Is the Night,1934,America,Tac pham van hoc,Literary Fiction,Jazz Age,F. Scott Fitzgerald,30
This Side of Paradise,1920,America,Tac pham van hoc,Literary Fiction,Jazz Age,F. Scott Fitzgerald,30
The Beautiful and Damned,1922,America,Tac pham van hoc,Literary Fiction,Jazz Age,F. Scott Fitzgerald,30
Ulysses,1922,Ireland,Tac pham van hoc,Literary Fiction,Modernist,James Joyce,30
Dubliners,1914,Ireland,Tac pham van hoc,Literary Fiction,Short Stories,James Joyce,30
A Portrait of the Artist as a Young Man,1916,Ireland,Tac pham van hoc,Literary Fiction,Bildungsroman,James Joyce,30
Finnegans Wake,1939,Ireland,Tac pham van hoc,Literary Fiction,Experimental,James Joyce,30
Mrs Dalloway,1925,England,Tac pham van hoc,Literary Fiction,Stream of Consciousness,Virginia Woolf,30
To the Lighthouse,1927,England,Tac pham van hoc,Literary Fiction,Stream of Consciousness,Virginia Woolf,30
Jacob Rooms,1922,England,Tac pham van hoc,Literary Fiction,Stream of Consciousness,Virginia Woolf,30
The Waves,1931,England,Tac pham van hoc,Literary Fiction,Stream of Consciousness,Virginia Woolf,30
Orlando,1928,England,Tac pham van hoc,Literary Fiction,Fantasy,Virginia Woolf,30
The Year of the Flood,2009,Canada,Tac pham van hoc,Literary Fiction,Dystopian,Margaret Atwood,30
MaddAddam,2013,Canada,Tac pham van hoc,Literary Fiction,Dystopian,Margaret Atwood,30
Oryx and Crake,2003,Canada,Tac pham van hoc,Literary Fiction,Dystopian,Margaret Atwood,30
The Handmaids Tale,1985,Canada,Tac pham van hoc,Literary Fiction,Dystopian,Margaret Atwood,30
The Testaments,2019,Canada,Tac pham van hoc,Literary Fiction,Dystopian,Margaret Atwood,30
Kaleidoscope,2020,Canada,Tac pham van hoc,Literary Fiction,Fantasy,Margaret Atwood,30
Cats Eye,1988,Canada,Tac pham van hoc,Literary Fiction,Psychological,Margaret Atwood,30
The Edible Woman,1969,Canada,Tac pham van hoc,Literary Fiction,Psychological,Margaret Atwood,30
Surfacing,1972,Canada,Tac pham van hoc,Literary Fiction,Psychological,Margaret Atwood,30
Lady Oracle,1976,Canada,Tac pham van hoc,Literary Fiction,Gothic,Margaret Atwood,30
